,intensity,latitude,longitude,validTimeUtc
370,31000,-12.01718,134.18159,2018-12-04T10:30:03.611+0000
371,16000,-12.85963,132.61294,2018-12-04T10:29:27.177+0000
372,13000,-15.97574,125.39451,2018-12-04T10:30:25.927+0000
373,-49000,5.14135,115.25274,2018-12-04T10:30:17.496+0000
374,25000,-11.89062,134.20391,2018-12-04T10:29:39.360+0000
375,-7000,-15.57961,144.0068,2018-12-04T10:30:01.672+0000
376,-20000,-15.6678,144.57031,2018-12-04T10:30:06.826+0000
377,-17000,9.84989,94.31321,2018-12-04T10:30:20.138+0000
378,10000,-16.41321,125.05381,2018-12-04T10:30:05.935+0000
379,-26000,-15.64099,144.3725,2018-12-04T10:29:59.528+0000
380,-7000,-2.78487,120.98393,2018-12-04T10:30:05.443+0000
381,-16000,-15.42745,126.00999,2018-12-04T10:29:28.726+0000
382,1000,-10.69116,33.62572,2018-12-04T10:30:03.964+0000
383,-27000,-12.68034,132.80158,2018-12-04T10:30:05.205+0000
384,10000,-15.6363,144.28239,2018-12-04T10:29:38.651+0000
385,7000,-21.93159,150.35396,2018-12-04T10:30:22.379+0000
386,-19000,-15.65871,144.52692,2018-12-04T10:30:06.947+0000
387,7000,-15.51746,144.24996,2018-12-04T10:30:23.284+0000
388,-3000,27.64338,133.32664,2018-12-04T10:29:27.462+0000
389,8000,-15.87715,144.42254,2018-12-04T10:30:24.093+0000
390,9000,-14.18267,132.88152,2018-12-04T10:29:47.122+0000
391,-6000,-15.43028,22.12944,2018-12-04T10:30:16.001+0000
392,2000,-4.53237,17.92194,2018-12-04T10:30:18.501+0000
393,-8000,20.22283,-94.31513,2018-12-04T10:29:40.624+0000
394,10000,-12.47006,132.90115,2018-12-04T10:30:07.396+0000
395,-4000,-3.42145,35.27878,2018-12-04T10:29:59.105+0000
396,12000,-15.44762,143.63193,2018-12-04T10:29:40.891+0000
397,-55000,-15.61336,144.22667,2018-12-04T10:30:13.196+0000
398,-18000,-15.66063,144.25505,2018-12-04T10:29:38.586+0000
399,3000,2.1328,29.81967,2018-12-04T10:29:56.460+0000
